,presence_freq_y=1,presence_freq_y=-1,difference (y=1-y=-1),chi2_stat,p_value,FDR_q
CHEMONTID:0004551,0.021739130434782608,0.013180714533472077,0.008558415901310531,0.25243302456352823,0.6153670965553264,0.9059691280103913
CHEBI:26273,0.021739130434782608,0.013180714533472077,0.008558415901310531,0.25243302456352823,0.6153670965553264,0.9059691280103913
CHEBI:83565,0.021739130434782608,0.013180714533472077,0.008558415901310531,0.25243302456352823,0.6153670965553264,0.9059691280103913
CHEMONTID:0004322,0.021739130434782608,0.013180714533472077,0.008558415901310531,0.25243302456352823,0.6153670965553264,0.9059691280103913
CHEMONTID:0002491,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0002310,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:48847,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:38163,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:60834,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0000038,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:38774,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0000514,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0002223,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0000513,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:48888,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:25418,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0000058,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:47804,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0000095,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0004008,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0000503,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:20706,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:26347,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0002411,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0000144,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:23238,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:50523,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEBI:23899,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0000419,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0000320,0.0,0.005202913631633715,-0.005202913631633715,0.24056601415392487,0.6237976081219376,0.9059691280103913
CHEMONTID:0001517,0.13043478260869565,0.10787374262920568,0.022561039979489966,0.2387853295527303,0.6250847934015675,0.9059691280103913
CHEBI:50995,0.10869565217391304,0.08844953173777315,0.020246120436139894,0.22944761930968563,0.631933713230552,0.9059691280103913
CHEBI:74266,0.021739130434782608,0.013527575442247659,0.00821155499253495,0.22665490602409025,0.6340153351570965,0.9059691280103913
CHEMONTID:0002023,0.021739130434782608,0.013527575442247659,0.00821155499253495,0.22665490602409025,0.6340153351570965,0.9059691280103913
CHEMONTID:0000064,0.021739130434782608,0.013527575442247659,0.00821155499253495,0.22665490602409025,0.6340153351570965,0.9059691280103913
CHEBI:52898,0.021739130434782608,0.013527575442247659,0.00821155499253495,0.22665490602409025,0.6340153351570965,0.9059691280103913
CHEMONTID:0000487,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
CHEMONTID:0004506,0.0,0.004856052722858134,-0.004856052722858134,0.2244512547381022,0.6356690165465622,0.9059691280103913
